City,AQI,PM2.5/h,PM10/h,CO/h,NO2/h,O3/h,O3/8h,SO2/h
阿坝州,20,9,19,0.37,6,57,20,10
阿克苏地区,86,38,119,0.25,8,73,65,3
阿拉善盟,57,7,18,0.23,4,113,107,6
阿勒泰地区,25,2,12,0.8,7,73,48,2
阿里地区,46,7,45,0.5,10,93,87,8
安康,34,16,33,0.43,8,37,19,4
安庆,43,23,42,0.43,17,87,52,8
鞍山,29,11,15,0.63,12,66,56,4
安顺,15,8,13,0.33,7,45,26,6
安阳,121,91,122,1.44,28,85,57,9
白城,43,30,34,0.7,6,71,53,6
百色,40,11,39,0.8,11,30,13,16
白山,29,11,28,0.4,9,58,21,7
白银,55,16,57,0.6,16,101,65,38
保定,32,8,14,0.58,9,100,49,6
宝鸡,31,13,30,0.45,13,54,20,4
保山,25,17,18,0.8,22,44,22,9
包头,75,54,76,1.6,36,82,41,31
巴彦淖尔,59,22,66,0.5,5,74,60,8
巴中,26,16,25,0.6,13,38,21,4
北海,18,7,17,0.57,13,33,32,7
北京,33,15,31,0.43,16,104,46,2
蚌埠,49,21,48,0.47,13,111,60,10
本溪,23,7,17,0.68,10,71,42,11
毕节,31,17,30,0.35,18,33,14,12
滨州,36,25,34,0.67,16,78,64,6
博州,24,7,17,0.15,5,61,46,7
亳州,29,11,28,0.65,12,60,54,4
沧州,43,16,22,0.37,12,101,85,4
长春,23,3,20,0.43,7,71,38,2
常德,45,31,41,0.49,8,64,39,4
昌都,23,9,22,0.55,4,59,41,13
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,31,13,22,0.3,3,94,60,6
长沙,25,10,20,0.54,9,78,46,5
常熟,43,16,42,0.9,19,114,44,9
长治,41,25,40,0.68,11,104,71,9
常州,33,18,32,0.64,31,70,36,10
朝阳,49,30,35,0.93,8,115,96,3
潮州,14,6,13,0.5,4,39,27,6
承德,44,13,43,0.73,16,118,44,12
成都,44,25,43,0.84,27,50,35,7
郴州,18,5,17,0.44,13,50,19,11
赤峰,51,17,50,0.35,14,120,86,6
池州,38,19,37,0.55,19,90,43,10
重庆,55,31,58,0.88,29,90,38,8
崇左,19,5,18,0.6,8,36,37,4
楚雄州,19,9,18,0.4,7,51,29,16
滁州,51,28,50,0.6,11,99,59,7
大连,41,7,12,0.52,12,100,80,5
大理州,31,9,30,0.6,14,55,28,5
丹东,33,18,10,0.5,10,71,65,5
大庆,33,8,25,0.4,8,93,64,5
大同,56,31,59,1.11,35,85,48,87
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,31,12,21,0.5,14,87,61,10
达州,47,29,46,0.54,20,73,43,6
德宏州,46,22,45,0.9,17,21,11,9
德阳,50,22,49,0.83,36,24,9,11
德州,41,5,11,0.5,5,92,81,5
定西,37,6,36,0.45,23,106,28,8
迪庆州,33,23,26,0.93,15,41,31,7
东莞,17,4,10,0.62,13,46,33,6
东营,40,28,35,0.78,11,107,72,13
鄂尔多斯,62,19,71,0.42,8,100,64,8
恩施州,31,15,30,0.55,10,60,23,10
鄂州,57,18,61,1.03,20,97,34,12
防城港,21,7,20,0.77,12,38,21,7
佛山,14,5,13,0.51,19,38,22,4
抚顺,26,11,25,0.58,9,78,42,9
阜新,46,21,34,0.54,9,98,90,3
阜阳,37,17,36,0.33,11,86,57,4
富阳,14,7,11,0.2,2,43,25,3
福州,31,13,30,0.7,6,72,25,4
抚州,29,11,28,0.46,6,77,47,5
甘南州,24,8,9,0.3,9,76,25,6
赣州,30,14,29,0.64,9,56,32,5
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,18,5,17,0.35,11,23,6,7
广安,34,20,33,0.48,15,83,49,5
广元,20,7,19,0.53,21,27,9,11
广州,15,7,14,0.59,18,41,28,5
贵港,21,7,20,0.38,9,40,37,9
桂林,20,7,19,0.55,8,47,28,6
贵阳,25,10,24,0.51,7,51,27,6
果洛州,27,15,21,0.7,15,83,47,22
固原,32,8,29,0.55,8,100,56,7
哈尔滨,24,6,22,0.49,12,75,47,10
海北州,39,11,36,0.6,13,121,74,10
海东地区,57,30,61,1.2,28,86,22,21
海口,28,5,27,0.48,8,37,41,3
海门,33,12,32,0.57,15,73,35,8
海南州,40,11,21,0.7,5,115,78,9
海西州,53,17,38,0.4,7,104,102,10
哈密地区,40,6,27,0.45,8,100,79,7
邯郸,44,13,24,0.63,10,124,86,7
杭州,26,8,25,0.36,11,77,31,4
汉中,35,9,34,1.13,10,48,16,16
鹤壁,56,28,59,0.67,15,88,72,5
河池,24,8,23,0.6,12,37,18,8
合肥,40,19,39,0.49,17,98,51,5
鹤岗,41,9,23,0.65,6,128,64,10
黑河,37,15,36,0.37,19,41,26,6
衡水,55,38,51,0.78,26,89,67,21
衡阳,19,5,14,0.47,5,58,29,8
和田地区,156,89,259,0.6,7,63,67,6
河源,15,4,11,0.53,5,45,26,4
菏泽,45,27,44,0.5,13,59,48,6
贺州,26,11,25,0.5,10,42,26,8
红河州,19,7,8,0.33,2,48,36,10
淮安,53,18,53,0.86,16,101,50,8
淮北,51,25,50,0.6,12,74,41,3
